sample-id	name	group
#q2:types	categorical	categorical
S1	Zero	Control	
S2	Glc1	Glucose
S3	HMO1	HMO
S4	Fiber1	Fiber
S5	Mix1	Mix
S6	Glc2	Glucose
S7	HMO2	HMO
S8	Fiber2	Fiber
S9	Mix2	Mix
S10	GLC3	Glucose
S11	HMO3	HMO
S12	Fiber3	Fiber
S13	MIX3	Mix
S14	GLC4	Glucose
S15	HMO4	HMO
S16	Fiber4	Fiber
S17	Mix4	Mix
